station_name	wmo_reg	sub_reg	river	station	country	lat	long	area
2817400	2	2171	SURKHANDAR'YO	MANGUZAR	UZ	37.21042	67.31458	13500
2817410	2	2171	SANGARDAKDARYO	KING GUZAR	UZ	38.43	67.88	901
2817420	2	2171	TANKHAZDAR'YA	KATTAGAN	UZ	38.98542	67.06875	435
2817460	2	2171	AKDAR'YA	KHAZARNOVA	UZ	39.01875	67.16875	845
2817630	2	2171	TO`POLONGDARYO	OBIZARANG	UZ	38.32708	67.99792	2630
2817635	2	2171	TO`POLONGDARYO	ZARCHOB	UZ	38.27	67.9	2200
2836100	2	2361	JHELUM RIVER	BARAMULA BR.	IN	34.22	74.33	12494
2836500	2	2361	JHELUM RIVER	MUNSHIBAG	IN	34.07	74.83	4324
2837100	2	2371	CHENAB RIVER	AKHNOOR	IN	32.9	74.75	22681
2838100	2	2381	TAWI RIVER	MUKESAR	IN	32.6866476	74.4898171	5700
2839100	2	2391	BEAS RIVER	MANDI PLAIN	IN	31.19375	75.02292	18274
2846800	2	2461	GANGES RIVER	FARAKKA	IN	25	87.92	835000
2851050	2	2511	TISTA RIVER	ANDERSON BR.	IN	27.05209	88.42708	-999
2851250	2	2511	MANAS RIVER	MATHANGURI	IN	26.65	90.95	32770
2851300	2	2511	BRAHMAPUTRA RIVER	PANDU	IN	26.18125	91.69792	405000
2851500	2	2511	BHARELI RIVER	N.T. ROAD CROSSING	IN	26.83	92.92	10820
2853050	2	2530	SABARMATI RIVER	AHMEDABAD	IN	23.08	72.63	12950
2853100	2	2530	OZAT	ANANDPUR	IN	21.40208	70.51875	1105
2853150	2	2531	MAHI RIVER	SEVALIA	IN	22.3	73.03	33670
2853200	2	2532	NARMADA	GARUDESHWAR	IN	21.92	73.65	89345
2853300	2	2533	TAPI	KATHORE	IN	21.28	72.95	61575
2853500	2	2532	NARMADA	JAMTARA	IN	23.02	79.93	16576
2853700	2	2530	KALI NADI	DUNDELI	IN	15.24375	74.63125	1393
2853900	2	2530	PERIYAR RIVER	PLANCHODE	IN	10.16875	76.25208	5387
2854020	2	2540	SUBARNAREKHA RIVER	KOKPARA	IN	22.42292	86.59375	15152
2854050	2	2545	DAMODAR RIVER	RHONDIA	IN	23.43	87.37	19220
2854080	2	2544	BRAHMANI RIVER	BARKOT BR.	IN	21.53542	85.00208	-999
2854100	2	2542	BHIMA RIVER	TAKALI	IN	17.4	75.85	33916
2854150	2	2542	KRISHNA	ALAMATI	IN	16.3271	75.8938	36286
2854180	2	2542	BHIMA RIVER	YADGIRI	IN	16.68	77.13	69863
